Open,High,Low,Close,Moving Average 50
287.61,288.68,287.58,288.52,285.2
288.53,289.72,288.31,289.44,285.34
289.44,289.78,289.16,289.45,285.49
289.46,289.54,288.78,289.25,285.63
289.25,289.57,288.91,288.97,285.76
288.97,289.31,288.51,288.82,285.88
288.82,289,288.02,288.32,286
288.32,288.51,287.62,288.06,286.1
288.06,288.45,287.14,287.88,286.25
287.9,287.98,287.13,287.67,286.38
291.05,291.37,289.86,290.8,286.58
290.79,291.53,290.79,291.08,286.78
291.08,291.39,290.54,290.84,286.97
290.83,291.64,290.43,291.49,287.17
291.49,291.85,291.45,291.73,287.38
291.73,291.99,291.49,291.67,287.6
291.67,292,291.66,291.95,287.81
291.95,292.05,291.34,291.46,288
291.46,291.6,290.76,291.11,288.18
291.11,291.63,290.79,291.55,288.34
291.55,291.75,291.16,291.66,288.5
291.67,292.14,291.49,291.94,288.58
291.94,292.95,291.85,292.46,288.68
290.37,291.21,289.88,290.45,288.73
290.45,291.29,290.38,290.9,288.77
290.9,291.41,290.55,290.88,288.81
290.88,291.75,290.82,291.74,288.87
291.74,292,291.7,291.95,288.94
291.93,292.77,291.71,292.73,289.03
292.73,293.11,292.61,292.98,289.11
292.98,293.81,292.77,293.68,289.21
293.68,294,293.34,293.36,289.29
293.35,293.48,292.71,292.88,289.4
292.88,293.74,292.81,293.49,289.55
293.5,294,293.2,293.4,289.69
293.41,293.59,292.5,292.62,289.81
293.75,294.24,291.54,292.28,289.92
292.28,292.69,291.85,292.03,290.03
292.04,292.77,291.61,292.53,290.16
292.54,293.13,292.28,292.69,290.28
292.68,292.95,291.95,292.51,290.4
292.52,292.63,292,292.49,290.51
292.48,292.64,292.17,292.51,290.62
292.5,292.56,290.5,290.8,290.72
290.8,291.49,290.67,291.48,290.82
291.48,291.56,290.28,290.85,290.92
290.84,291.27,290.24,291.04,291.05
291.04,291.12,289.56,289.63,291.07
289.64,289.89,286.55,286.61,291.04
285.95,286.38,283.64,284.85,290.99
284.84,286.48,284.73,286.32,290.95
286.33,287.19,284.57,284.75,290.85
284.76,285.39,283.25,283.99,290.74
283.98,284.27,281.18,281.87,290.59
281.87,282.27,279.61,281.14,290.44
281.15,281.94,280.73,281.73,290.3
281.73,282.07,280.43,281.42,290.16
281.42,281.69,280.62,280.78,290.01
280.79,281.83,280.16,280.71,289.87
280.71,280.91,279.67,279.67,289.71
279.67,281.25,278.97,279.82,289.49
279.82,282.09,279.48,281.67,289.3
278.84,279.78,276.61,276.89,289.02
276.89,278.28,276.37,277.31,288.74
277.3,280.62,277.29,279.87,288.5
279.87,281.62,279.65,279.92,288.27
279.92,280.8,279.02,279.77,288.02
279.79,281.43,279.4,280.8,287.81
280.8,282.64,280.62,282.41,287.64
282.42,283.34,281.82,283.3,287.47
283.3,283.65,282,282.09,287.28
282.08,282.62,281.35,282.57,287.09
282.56,282.7,281.05,282.18,286.89
282.18,284.1,281.93,283.89,286.76
283.89,285.11,282.84,284.97,286.64
282.32,284.22,281.34,283.85,286.5
283.85,285.08,283.4,284.08,286.34
284.08,284.47,282.58,282.91,286.16
282.91,283.31,281.89,282.91,285.97
282.9,283.21,282.25,283.14,285.77
283.14,284.49,282.96,284.2,285.58
284.2,284.78,283.61,284.13,285.39
284.13,285.13,284.06,284.84,285.23
284.84,285.14,284.14,285,285.06
284.99,285.96,284.97,285.81,284.91
285.83,285.91,284.48,284.61,284.75
284.62,285.78,284.37,285.49,284.62
285.49,286.33,284.58,286.26,284.5
293.09,294.19,292.7,293.28,284.52
293.28,293.69,292.87,293.32,284.53
293.32,294.69,293.32,294.53,284.57
294.53,295.58,294.48,295.24,284.62
295.25,295.48,294.74,295.04,284.67
295.03,295.25,294.64,295,284.76
295.01,295.06,294.53,294.81,284.83
294.81,295.78,294.76,295.77,284.92
295.78,295.79,295.34,295.59,285.01
295.59,295.94,295.39,295.64,285.13
295.65,296.07,295.41,295.68,285.32
295.68,295.98,295.34,295.78,285.53
295.79,296.75,294.94,294.94,285.71
294.41,294.73,293.52,294.65,285.91
294.67,295.88,294.61,295.08,286.13
295.07,295.43,294.2,295.28,286.4
295.27,295.79,294.93,295.77,286.69
295.78,295.99,295.21,295.46,286.96
295.45,295.68,294.89,295.17,287.24
295.17,295.34,294.73,295.22,287.53
295.22,295.47,294.95,295.36,287.82
295.35,295.68,295.19,295.5,288.14
295.5,296.04,295.05,295.71,288.45
295.72,296.21,293.73,294.04,288.7
294.05,295.83,293.69,294.81,289.06
294.8,294.8,291.95,292.21,289.36
295.83,296.79,295.57,296.61,289.69
296.61,297.55,296.47,297.31,290.04
297.32,297.5,296.95,297.09,290.39
297.09,297.87,296.93,297.76,290.73
297.76,297.87,297.48,297.58,291.03
297.57,297.74,296.52,296.9,291.3
296.9,297.08,296.1,296.89,291.6
296.87,296.99,295.97,296.2,291.87
296.2,296.86,296.15,296.5,292.16
296.5,296.95,295.81,296.26,292.4
296.26,297.43,296.16,297.11,292.65
297.11,297.25,296.22,297.17,292.91
297.16,297.34,296.29,296.96,293.17
296.8,297.67,296.27,297.14,293.45
297.13,297.43,296.36,296.79,293.73
296.8,296.8,295.26,295.83,293.99
295.83,295.83,293.69,294.3,294.19
294.33,295.35,294.23,294.87,294.4
294.87,295.93,294.85,295.38,294.61
295.37,295.46,294.58,294.95,294.81
294.95,295.82,294.73,295.29,295
295.29,295.45,294.84,295.19,295.21
295.19,295.81,295.09,295.66,295.42
295.66,295.8,294.38,294.72,295.59
294.72,295.66,294.71,295.3,295.63
295.3,295.48,294.51,294.88,295.66
294.56,294.85,293.37,294.28,295.65
294.28,294.37,293.22,294.36,295.64
294.36,294.53,293.35,293.46,295.6
293.43,294.65,293.28,293.72,295.58
293.72,294.19,293.52,293.98,295.56
293.98,294.22,293.67,294.01,295.53
294.03,294.73,294.02,294.43,295.5
294.42,294.83,294.3,294.68,295.48
294.68,294.82,294.36,294.75,295.47
294.76,295.36,294.72,295.14,295.45
295.14,295.45,294.77,295.04,295.45
295.03,295.28,294.25,294.56,295.45
294.58,295.63,294.44,295.44,295.46
301.96,302.19,300.66,300.84,295.57
300.83,301.39,300.37,301.36,295.68
301.35,301.54,300.84,301.3,295.8
301.29,301.58,300.35,300.87,295.91
300.87,300.88,299.9,300.41,296.02
300.41,300.71,300.08,300.37,296.12
300.37,301.08,300.36,301.03,296.23
301.04,301.47,300.89,301.42,296.34
301.42,301.47,301.09,301.11,296.48
301.14,301.45,301.02,301.24,296.61
301.24,301.34,300.74,301.04,296.79
301.04,301.08,300.52,300.7,296.87
300.72,300.93,298.69,299.2,296.91
302.14,302.22,299.57,299.89,296.96
299.91,300.59,299.27,299.91,297.01
299.91,299.91,296.87,298.04,297.02
298.04,298.96,297.41,298.93,297.06
298.93,299.62,297.54,299.55,297.11
299.54,300.22,299.28,299.73,297.18
299.75,300.52,299.56,300.17,297.25
300.17,300.49,299.45,300.27,297.34
300.28,300.43,299.67,300.36,297.4
300.36,301.54,300.36,301.21,297.48
301.22,301.78,300.84,301.74,297.58
301.74,302.11,301.38,302.02,297.67
302.02,303.57,301.57,303.48,297.81
304.69,304.87,303.32,304.16,297.97
304.15,304.93,303.67,304.45,298.18
304.46,305.19,304.14,305.09,298.38
305.09,305.37,304.5,305.27,298.58
305.27,305.58,304.57,305.55,298.79
305.55,305.77,305.22,305.44,299
305.44,306.43,305.33,306.25,299.22
306.25,306.69,306.25,306.63,299.44
306.63,306.84,306.24,306.46,299.67
306.46,306.65,305.86,306,299.88
306,306.3,305.46,305.97,300.11
305.97,306.46,304.36,304.43,300.31
304.43,304.72,302.24,302.97,300.48
302.46,303.14,301.78,302.23,300.66
302.24,302.59,301.14,301.56,300.81
301.56,302.04,300.63,301.03,300.95
301.02,301.73,300.48,301.36,301.1
301.37,302.06,300.97,301.67,301.25
301.67,301.95,300.69,301.12,301.38
301.1,302.27,299.47,301.63,301.51
301.63,301.87,301.11,301.41,301.64
301.43,301.58,300.72,301.13,301.76
301.13,303.03,300.95,302.86,301.93
302.86,303.64,300.07,303.57,302.09
303.56,304.58,303.08,303.64,302.14
303.62,304.96,303.32,304.49,302.21
303.63,304.71,303.06,304.21,302.27
304.21,305.09,303.95,304.98,302.35
304.98,305.29,304.66,305.07,302.44
305.07,305.14,304.25,304.52,302.52
304.51,305.08,304.45,305.01,302.6
305.01,305.43,304.71,305.3,302.68
305.29,305.67,305.29,305.5,302.77
305.5,306.11,305.47,306,302.86
306,306.21,305.76,305.91,302.96
305.91,305.99,305.55,305.56,303.06
305.56,306.04,305.47,305.98,303.19
305.98,306.15,305.41,305.84,303.31
