Open,High,Low,Close
136.52,136.70,136.41,136.52
136.52,136.74,136.52,136.60
136.60,136.67,136.37,136.56
136.56,136.71,136.45,136.60
136.60,137.01,136.60,136.96
136.96,137.21,136.86,137.08
137.08,137.14,136.80,136.83
136.83,137.01,136.60,136.77
136.76,136.89,136.68,136.70
136.68,136.85,136.65,136.79
136.79,136.88,136.53,136.66
136.65,136.70,136.31,136.42
136.42,136.65,136.36,136.62
136.62,136.63,136.43,136.48
136.48,136.58,136.18,136.37
136.39,136.69,136.39,136.59
136.62,136.74,136.44,136.68
136.69,136.73,136.39,136.53
136.53,136.67,136.42,136.42
136.45,136.62,136.35,136.58
136.58,136.71,136.49,136.61
136.61,136.62,136.44,136.56
136.57,136.67,136.51,136.55
136.57,136.93,136.55,136.79
136.83,137.01,136.69,137.01
137.01,137.01,136.79,136.94
136.94,136.99,136.77,136.89
136.91,136.93,136.67,136.75
136.75,136.88,136.60,136.79
136.79,136.95,136.67,136.77
136.77,136.77,135.42,135.99
135.99,136.01,135.10,135.12
135.13,135.32,134.18,134.18
134.19,134.40,132.75,134.09
134.09,134.47,133.18,133.74
133.74,134.49,133.35,134.37
134.35,134.39,133.66,134.18
134.18,134.42,133.76,134.01
133.99,134.66,133.97,134.50
134.50,134.97,134.46,134.91
134.91,135.34,134.85,134.90
134.90,135.02,134.35,134.39
134.44,134.83,134.38,134.69
134.74,134.95,134.37,134.44
134.44,134.67,134.14,134.21
134.21,134.34,133.81,133.81
133.84,134.39,133.57,133.86
133.82,134.12,133.69,133.80
133.79,134.02,133.49,133.53
133.53,134.11,133.29,134.01
134.01,134.03,132.65,132.75
132.74,133.09,132.29,132.69
132.69,133.24,132.53,133.06
131.75,132.51,131.17,132.50
132.50,133.44,132.36,132.89
132.89,133.71,132.78,133.64
133.68,134.26,133.58,134.03
134.05,134.50,133.80,134.42
134.42,135.05,134.34,134.75
134.71,134.85,134.35,134.46
134.49,135.18,134.49,134.72
134.74,134.92,134.28,134.47
134.46,134.82,134.40,134.49
134.49,134.58,134.06,134.22
134.20,134.67,134.17,134.60
134.58,134.81,134.40,134.65
134.66,134.74,134.28,134.36
134.36,134.72,134.21,134.69
134.72,135.09,134.54,135.09
135.08,135.59,135.08,135.51
135.50,135.81,135.43,135.63
135.63,135.69,135.28,135.53
135.53,135.54,134.70,134.81
134.81,135.11,134.66,134.91
134.91,135.14,134.68,134.93
134.91,135.43,134.79,135.41
135.41,135.84,135.41,135.75
135.75,135.91,135.55,135.79
135.80,136.40,135.79,136.31
136.31,136.34,136.07,136.16
136.17,136.29,136.04,136.08
136.08,136.49,136.04,136.46
136.42,136.73,136.40,136.55
136.55,136.65,136.25,136.36
136.37,136.57,136.32,136.38
136.38,136.70,136.37,136.57
136.58,136.65,136.14,136.15
136.17,136.48,136.13,136.40
136.41,136.49,136.05,136.11
136.10,136.27,135.98,136.10
136.12,136.22,135.91,136.22
136.22,136.26,136.05,136.12
136.10,136.25,135.81,135.83
135.82,135.99,135.69,135.98
135.98,136.09,135.70,135.83
135.83,136.13,135.80,135.85
135.85,135.96,135.48,135.75
135.76,136.09,135.72,136.01
136.06,136.25,135.89,136.25
136.25,136.40,136.20,136.38
136.37,136.44,136.26,136.39
136.40,136.60,136.35,136.56
136.56,136.62,136.42,136.46
136.43,136.69,136.42,136.59
136.59,136.65,136.04,136.16
136.18,136.44,136.14,136.28
136.28,136.75,136.24,136.63
136.62,136.82,136.52,136.73
136.73,136.87,136.62,136.77
136.77,136.85,136.64,136.72
136.73,136.93,136.55,136.89
136.89,137.61,136.79,137.44
137.43,137.54,137.25,137.49
137.49,137.63,137.38,137.61
137.62,137.71,137.44,137.49
137.47,137.55,137.35,137.52
137.51,138.04,137.50,137.85
137.85,137.91,137.56,137.76
137.76,138.07,137.74,138.06
138.04,138.44,138.02,138.42
138.43,138.59,138.21,138.56
138.56,138.69,138.37,138.54
138.54,138.57,138.02,138.02
138.03,138.19,137.59,137.83
137.81,138.07,137.65,138.05
138.04,138.23,137.83,138.17
138.15,138.67,138.09,138.64
138.65,139.06,138.57,138.95
138.95,139.19,138.67,138.71
138.68,138.83,138.34,138.50
138.50,138.81,138.31,138.38
138.59,138.96,138.15,138.52
138.52,138.74,137.92,138.07
138.09,139.02,137.80,138.88
138.90,139.55,138.82,139.16
139.13,139.18,138.29,138.78
138.78,139.38,138.58,139.20
139.23,139.39,138.45,138.67
138.68,139.21,138.25,138.91
138.92,138.98,138.39,138.55
138.52,139.37,138.52,139.27
139.27,139.52,138.89,139.51
139.51,140.39,139.49,140.25
140.25,141.03,140.23,140.79
140.82,140.89,140.44,140.72
140.73,140.75,140.42,140.53
140.54,141.10,140.54,140.77
140.77,141.14,140.71,141.10
141.12,141.48,140.94,141.05
141.05,141.17,140.18,140.24
140.22,140.61,139.94,140.01
140.01,140.43,139.77,139.93
139.93,140.32,139.82,139.91
139.97,140.80,139.95,140.80
140.80,140.81,140.54,140.76
140.79,140.82,139.76,139.86
139.86,140.03,139.62,139.86
139.86,139.99,139.43,139.57
139.57,140.09,139.50,139.87
139.92,140.04,139.59,139.65
139.65,139.85,138.90,139.10
139.08,139.78,138.90,139.71
139.71,140.34,139.71,140.09
140.06,140.61,140.05,140.56
140.56,140.82,140.47,140.70
140.70,140.82,140.54,140.78
140.78,140.81,140.53,140.78
140.78,140.85,140.54,140.75
140.75,140.94,140.54,140.56
140.56,140.82,140.54,140.80
140.80,140.90,140.70,140.80
140.80,140.81,140.32,140.81
140.79,140.92,140.65,140.79
140.86,140.93,140.01,140.34
140.34,140.61,140.25,140.56
140.52,140.75,140.33,140.66
140.64,140.76,140.28,140.49
140.48,140.48,140.12,140.20
140.20,140.44,140.03,140.34
140.33,140.55,140.05,140.54
140.51,140.75,140.48,140.64
140.64,140.83,140.28,140.30
140.28,140.58,140.17,140.53
140.54,140.55,140.18,140.21
140.21,140.29,139.89,140.27
140.28,140.45,140.13,140.43
140.43,140.60,140.40,140.58
140.58,140.78,140.35,140.61
140.60,140.80,140.59,140.78
140.80,140.80,140.52,140.65
140.68,140.89,140.63,140.83
140.83,141.13,140.76,141.06
141.06,141.19,140.82,140.84
140.84,140.94,140.67,140.84
140.84,141.32,140.79,141.03
141.07,141.33,141.02,141.22
141.22,141.56,141.20,141.37
141.37,142.01,141.31,141.55
141.55,141.80,141.42,141.76
141.76,141.89,141.61,141.64
141.64,141.67,141.37,141.44
141.44,141.82,141.42,141.77
141.77,141.83,141.37,141.53
141.53,141.62,141.12,141.21
141.21,141.44,140.97,141.21
141.21,141.24,140.45,140.66
140.65,141.09,140.62,140.91
140.90,141.39,140.74,141.28
141.29,141.56,141.28,141.30
146.26,146.85,146.04,146.31
146.31,147.26,146.31,147.21
147.21,147.56,146.89,147.00
147.00,147.37,146.69,146.79
146.79,147.03,143.65,143.66
143.66,145.22,143.56,145.11
145.12,145.20,143.04,143.63
143.66,144.17,142.73,143.27
143.27,144.61,143.05,144.60
144.60,145.36,144.49,145.26
145.26,145.44,144.75,144.91
144.91,145.05,144.20,144.24
144.24,144.30,143.22,143.53
143.53,144.01,143.11,143.97
143.97,143.97,142.98,143.44
143.44,143.47,141.83,142.52
142.53,142.61,140.63,140.81
140.81,141.52,140.44,141.12
141.12,142.64,140.79,142.32
142.33,143.05,142.00,142.88
142.88,143.31,142.50,142.52
142.52,142.75,142.22,142.65
142.65,142.81,142.33,142.44
142.44,142.52,141.44,141.55
141.55,142.53,141.53,142.15
142.19,142.90,141.96,142.80
142.81,143.58,142.77,143.49
143.49,143.75,143.32,143.47
143.47,143.62,142.99,143.34
143.38,143.86,143.36,143.58
143.58,144.36,143.49,144.10
144.12,144.35,143.81,143.98
143.98,144.22,143.88,144.10
144.10,144.54,143.99,144.33
144.33,144.43,143.98,144.13
144.13,144.21,143.41,143.53
143.54,143.70,143.23,143.64
143.64,143.83,143.41,143.61
143.61,143.76,142.91,143.35
143.35,143.78,143.18,143.60
143.59,143.60,143.05,143.15
143.17,143.50,143.11,143.24
143.24,143.97,142.94,143.84
143.87,144.33,143.77,144.32
144.33,144.35,144.02,144.23
144.23,144.30,143.79,143.81
143.81,144.03,143.51,143.79
143.79,143.86,143.32,143.32
143.32,143.32,142.83,143.14
143.16,143.52,143.07,143.14
143.14,143.28,142.41,142.53
142.53,142.83,142.38,142.61
142.61,143.21,142.51,143.18
143.17,143.42,142.98,143.18
143.18,143.35,142.76,142.87
142.89,143.52,142.89,143.32
143.34,143.48,143.13,143.34
143.34,143.74,143.27,143.47
143.48,143.49,142.87,143.07
143.11,143.16,142.68,142.82
142.82,143.02,142.18,142.27
142.29,142.50,142.08,142.27
142.27,142.30,141.84,141.99
142.01,142.40,141.93,142.08
142.08,142.18,141.58,141.59
141.59,142.20,141.56,141.95
141.95,142.22,141.75,141.83
141.86,141.94,141.28,141.37
141.31,141.57,141.09,141.55
141.55,142.24,141.55,142.18
142.18,142.62,142.01,142.58
142.58,142.80,142.54,142.75
142.75,142.93,142.51,142.76
142.76,143.04,142.58,142.99
142.99,143.34,142.96,143.32
143.32,143.43,142.76,142.84
142.84,143.56,142.79,143.33
143.26,144.05,143.11,143.95
142.92,143.43,142.07,143.16
143.23,144.01,142.63,143.07
143.09,144.20,142.45,143.75
143.75,144.04,143.36,143.58
143.58,143.58,142.52,142.52
142.51,143.83,142.40,143.83
143.81,143.83,143.17,143.42
143.42,143.68,142.61,142.72
142.72,143.64,142.58,143.61
143.61,144.70,143.51,144.45
144.45,144.55,143.50,143.88
143.88,144.14,143.31,143.53
143.54,143.96,142.96,143.94
143.93,144.46,143.86,144.31
144.31,144.53,144.15,144.18
144.19,144.80,143.69,143.94
143.94,144.07,143.58,143.92
143.92,144.66,143.68,144.66
144.66,145.29,144.43,144.99
144.99,145.33,144.85,145.33
145.33,146.08,145.14,146.04
146.04,146.32,145.81,146.30
146.30,146.40,145.60,145.82
145.89,145.95,145.22,145.42
145.44,145.54,144.68,145.25
145.26,145.26,144.74,144.80
144.76,145.24,144.31,144.55
144.55,144.86,144.28,144.75
144.75,145.03,144.68,144.90
144.90,145.31,144.89,145.11
145.11,145.31,144.74,144.89
144.90,144.93,144.45,144.91
144.90,144.93,143.95,144.16
144.16,144.67,143.94,144.53
144.56,144.94,144.42,144.81
144.81,145.18,144.81,144.96
144.96,145.17,144.76,145.13
145.12,145.43,144.94,145.37
145.38,145.65,145.24,145.46
145.46,145.57,145.16,145.24
145.24,145.38,145.11,145.19
145.17,145.42,145.15,145.36
145.34,145.51,145.15,145.20
145.20,145.27,144.90,145.25
145.25,145.66,145.07,145.48
145.48,145.65,145.41,145.63
145.63,145.69,145.43,145.60
145.62,145.90,145.62,145.79
145.79,145.94,145.41,145.57
145.57,145.85,145.54,145.65
145.65,146.02,145.55,145.87
145.87,145.89,145.45,145.57
145.61,145.73,145.36,145.55
145.56,145.71,145.36,145.44
145.45,145.53,145.15,145.52
145.51,145.65,145.31,145.60
145.60,145.93,145.59,145.88
145.88,146.10,145.30,145.92
145.94,146.10,145.87,146.06
146.07,146.25,145.93,146.21
146.21,146.44,146.10,146.40
146.39,146.55,146.11,146.19
146.19,146.56,146.05,146.27
146.25,146.55,146.25,146.47
146.48,146.55,146.29,146.51
146.51,146.73,146.28,146.65
146.64,146.68,146.37,146.56
146.56,146.82,146.38,146.76
146.75,147.00,146.73,146.91
146.93,147.23,146.88,147.16
147.16,147.22,146.80,147.12
147.12,147.26,147.01,147.14
147.14,147.25,146.99,147.05
147.05,147.36,147.05,147.33
147.30,147.42,146.95,146.98
146.98,147.26,146.92,146.99
146.96,147.30,146.87,147.27
147.29,147.45,147.17,147.30
149.33,149.75,149.08,149.73
149.73,150.38,149.46,149.73
149.69,150.08,149.43,149.74
149.74,150.34,149.50,150.31
150.31,150.31,149.16,149.38
149.38,150.16,149.38,149.99
149.99,150.32,149.42,149.76
149.71,150.14,149.71,149.97
149.94,150.09,149.48,149.51
149.51,150.30,149.51,150.10
150.11,150.51,149.90,150.50
150.50,150.84,150.40,150.72
150.72,151.19,150.69,151.17
151.19,151.35,151.04,151.33
151.33,151.72,151.30,151.64
151.64,151.93,151.43,151.93
151.93,152.02,151.55,151.59
151.58,152.10,151.58,151.91
151.93,152.45,151.93,152.14
152.16,152.47,152.09,152.34
152.37,152.53,151.93,152.15
152.17,152.33,151.82,152.02
152.02,152.44,151.94,152.42
152.42,152.76,152.18,152.72
152.72,153.06,152.67,153.00
152.99,153.31,152.99,153.25
153.25,154.01,153.25,153.94
153.93,154.02,153.35,153.64
153.64,153.92,153.53,153.92
153.92,154.15,153.85,153.92
153.92,154.11,153.48,154.11
154.11,154.74,154.01,154.64
154.63,155.23,154.58,155.23
155.23,155.53,154.95,155.50
155.50,155.51,155.21,155.42
155.42,156.13,155.28,155.81
155.81,155.97,155.48,155.53
155.53,155.62,154.99,155.14
155.14,155.17,154.15,154.35
154.38,154.52,154.10,154.36
154.37,154.92,154.36,154.87
154.87,154.96,154.29,154.38
154.38,155.11,154.38,154.94
154.91,155.37,154.75,154.89
154.90,155.15,154.72,154.79
154.79,155.34,154.69,155.29
155.29,155.67,154.96,155.56
155.56,155.56,154.95,155.17
155.17,155.47,155.14,155.42
155.42,155.85,155.36,155.71
155.71,155.79,155.34,155.42
155.41,155.82,155.35,155.76
155.76,155.93,155.50,155.67
155.69,156.02,155.59,156.01
156.02,156.50,155.83,156.40
156.40,156.44,156.08,156.37
156.37,156.41,156.02,156.25
156.26,156.45,156.16,156.32
156.31,156.72,156.27,156.62
156.62,156.71,156.34,156.67
156.67,156.79,155.58,155.67
155.67,155.72,154.76,155.05
155.09,155.42,153.91,154.00
154.00,154.84,153.94,154.84
154.85,154.98,154.17,154.28
154.28,154.29,153.06,153.70
153.70,154.16,153.23,153.75
153.78,155.07,153.78,155.01
155.01,155.58,154.88,155.58
155.54,155.68,154.97,155.20
155.20,155.97,154.94,155.92
155.92,156.20,155.77,156.15
156.19,156.31,155.47,155.69
155.71,156.25,155.64,155.81
155.81,156.09,155.65,155.84
155.84,156.55,155.83,156.52
156.52,156.87,156.28,156.63
156.63,157.05,156.59,156.71
158.58,158.58,155.54,156.44
156.44,157.09,154.63,154.94
154.97,157.04,154.95,156.74
156.76,156.78,154.99,156.11
156.11,158.10,155.83,157.60
157.60,158.34,156.97,157.25
157.21,157.40,155.59,155.69
155.69,155.76,154.51,155.22
155.22,155.74,154.30,155.49
155.49,156.85,155.16,156.77
156.76,157.20,156.53,156.62
156.62,157.94,156.57,157.94
157.90,158.36,157.56,158.21
158.21,158.57,157.52,158.23
158.23,158.43,157.56,157.98
157.98,157.98,156.89,157.00
157.00,157.99,156.72,157.89
157.89,158.50,157.58,158.28
158.28,159.22,158.20,159.12
159.11,159.29,158.76,158.93
158.93,159.07,158.51,158.73
158.73,158.82,157.79,157.86
157.86,158.51,157.72,158.27
158.28,158.41,157.89,158.21
158.21,158.46,157.52,158.46
158.46,159.06,158.30,158.99
159.01,159.44,158.92,159.37
159.37,159.87,159.37,159.47
159.47,159.67,159.18,159.40
159.40,159.59,158.64,158.81
158.81,158.82,157.20,157.81
157.82,158.37,157.62,158.26
158.26,158.38,157.63,157.75
157.77,157.95,156.58,156.61
156.61,157.20,156.05,157.14
157.16,157.37,156.20,156.30
156.30,156.75,155.60,155.73
155.73,155.87,154.60,155.20
155.20,155.55,154.60,154.91
154.90,154.94,153.68,153.86
153.86,154.01,151.58,152.60
152.60,153.49,152.43,152.94
152.94,153.31,152.28,152.91
152.87,154.07,152.11,154.05
154.05,154.56,153.65,154.31
154.31,154.31,153.04,153.89
153.89,154.45,153.48,154.09
154.12,155.28,154.11,155.01
155.01,155.26,154.36,154.59
154.59,154.93,154.20,154.63
154.67,154.96,154.29,154.63
154.63,154.87,154.19,154.57
154.57,154.67,153.62,154.22
154.23,155.96,154.21,155.90
155.90,156.29,155.54,156.28
156.28,156.34,155.96,156.06
156.10,156.59,155.70,156.50
156.45,156.82,156.35,156.67
156.67,156.74,156.22,156.39
156.42,157.35,156.42,157.29
157.29,157.40,156.85,156.98
156.98,157.39,156.96,157.11
157.11,157.58,157.11,157.51
157.53,157.57,156.28,156.28
156.30,156.82,155.96,156.12
156.13,156.60,156.09,156.54
156.54,157.08,156.38,156.38
156.37,156.55,155.71,156.38
156.38,156.87,156.23,156.47
156.47,157.01,156.31,156.95
156.95,157.51,156.93,157.21
157.20,157.25,156.76,157.05
157.05,157.35,156.71,157.23
157.25,157.33,156.64,156.65
156.65,157.05,156.27,156.33
156.33,156.77,156.03,156.24
156.24,156.24,155.28,155.35
155.35,155.68,154.94,155.22
157.29,157.86,157.02,157.82
157.82,158.23,157.02,157.12
157.16,157.94,157.15,157.88
157.88,157.88,156.51,156.70
156.70,157.53,156.01,157.32
157.32,158.25,157.01,158.25
158.25,158.51,157.90,158.08
158.08,158.73,157.20,157.70
157.73,157.95,157.11,157.26
157.26,157.89,157.14,157.76
157.75,158.09,157.37,157.93
157.93,158.40,157.78,158.26
158.26,158.40,157.01,157.24
157.26,157.48,156.65,157.28
157.28,157.85,157.28,157.48
157.50,157.61,156.24,156.95
156.95,157.02,156.20,157.01
157.01,157.11,156.03,156.37
156.41,156.78,155.99,156.44
156.44,157.38,156.23,157.10
157.11,157.52,157.05,157.05
157.05,157.46,157.02,157.44
157.39,157.99,157.39,157.78
157.76,158.11,157.73,157.93
157.93,157.95,157.50,157.62
157.61,157.85,157.33,157.53
157.53,157.76,157.19,157.74
157.74,157.83,157.49,157.82
157.80,157.87,157.65,157.85
157.81,158.20,157.73,157.80
157.80,158.04,157.59,157.94
157.94,158.19,157.88,157.99
157.99,158.08,157.66,157.72
157.69,157.99,157.27,157.30
157.27,157.50,157.08,157.30
157.31,157.40,157.11,157.19
157.19,157.39,156.96,157.12
157.12,157.16,156.68,156.92
156.92,157.10,156.58,156.60
156.57,157.15,156.54,157.06
157.04,157.04,156.57,156.90
156.90,157.39,156.84,157.33
157.33,157.38,156.90,156.97
156.97,157.12,156.28,156.51
156.51,156.57,155.59,155.60
155.58,156.52,155.58,156.32
